operator,metric,comparison,p_value
pick-up-lid-from-pot,success_rate,base vs subgoal,0.015625
pick-up-lid-from-pot,progress,base vs subgoal,0.015625
pick-up-lid-from-pot,success_rate,subgoal vs llm_subgoal,0.109375
pick-up-lid-from-pot,progress,subgoal vs llm_subgoal,0.109375
pick-up-lid-from-pot,success_rate,base vs llm_subgoal,0.0009765625
pick-up-lid-from-pot,progress,base vs llm_subgoal,0.0009765625
pick-up-nut-from-peg,success_rate,base vs subgoal,0.25
pick-up-nut-from-peg,progress,base vs subgoal,0.125
pick-up-nut-from-peg,success_rate,subgoal vs llm_subgoal,0.0107421875
pick-up-nut-from-peg,progress,subgoal vs llm_subgoal,0.0107421875
pick-up-nut-from-peg,success_rate,base vs llm_subgoal,0.0009765625
pick-up-nut-from-peg,progress,base vs llm_subgoal,0.0009765625
pick-up-from-open-box,success_rate,base vs subgoal,1.0
pick-up-from-open-box,progress,base vs subgoal,1.0
pick-up-from-open-box,success_rate,subgoal vs llm_subgoal,0.0009765625
pick-up-from-open-box,progress,subgoal vs llm_subgoal,0.0009765625
pick-up-from-open-box,success_rate,base vs llm_subgoal,0.0009765625
pick-up-from-open-box,progress,base vs llm_subgoal,0.0009765625
open-drawer,success_rate,base vs subgoal,1.0
open-drawer,progress,base vs subgoal,0.5
open-drawer,success_rate,subgoal vs llm_subgoal,0.0009765625
open-drawer,progress,subgoal vs llm_subgoal,0.0009765625
open-drawer,success_rate,base vs llm_subgoal,0.001953125
open-drawer,progress,base vs llm_subgoal,0.001953125
pick-up-from-open-drawer,success_rate,base vs subgoal,1.0
pick-up-from-open-drawer,progress,base vs subgoal,0.5
pick-up-from-open-drawer,success_rate,subgoal vs llm_subgoal,0.0009765625
pick-up-from-open-drawer,progress,subgoal vs llm_subgoal,0.0009765625
pick-up-from-open-drawer,success_rate,base vs llm_subgoal,0.0009765625
pick-up-from-open-drawer,progress,base vs llm_subgoal,0.0009765625
